,Name,Year of release,Aired On,Number of Episode,Duration,Content Rating,Tags,Rank,Rating,Start Date,End Date,Network 1,Network 2,Genre 1,Genre 2,Main Actor,Second Role
11,Navillera,2021," Monday, Tuesday",12,65,15+,"Ballet, Dream, Life Lesson, Old-Young Generation, Unusual Friendship, Ballet Dancer, Personal Growth, Adapted From A Webtoon, Father-Son Relationship, Second Chance",12,9.0,2021-03-22,2021-04-27,Netflix,tvN,Friendship, Life,Park In Hwan,Song Kang
12,Happiness,2021," Friday, Saturday",12,65,15+,"Disease, Strong Female Lead, Survival, Virus, Fake Marriage, Zombies, Discrimination, Slow Burn Romance, Infectious Disease, Illness",13,9.0,2021-11-05,2021-12-11,tvN,,Action, Thriller,Han Hyo Joo,Park Hyung Sik
13,Vincenzo,2021," Saturday, Sunday",20,85,15+,"Mafia, Revenge, Smart Male Lead, Eccentric Female Lead, Injustice, Charming Male Lead, Bromance, Father-Daughter Relationship, Badass Male Lead, Smart Female Lead",14,9.0,2021-02-20,2021-05-02,Netflix,tvN,Comedy, Law,Song Joong Ki,Jeon Yeo Been
14,Crash Landing on You,2019," Sunday, Saturday",16,85,15+,"North And South Korea, Star Crossed Lovers, Lovers From Different Countries, Strong Male Lead, Army Officer, Rich Female Lead, North Korean, Soldier, Fate, Nice Male Lead",15,9.0,2019-12-14,2020-02-16,Netflix,tvN,Military, Comedy,Hyun Bin,Son Ye Jin
15,SKY Castle,2018," Friday, Saturday",20,75,15+,"Multiple Mains, Social Commentary, Sibling, Medical, Social Satire, Female Centered Plot, Satire, Hospital, Mother-Daughter Relationship, Death",16,8.9,2018-11-23,2019-02-01,jTBC,,Mystery, Psychological,Yeom Jung Ah,Lee Tae Ran
16,Kingdom,2020, Friday,6,45,18+,"Zombies, Corruption, Strong Male Lead, Gore, Strong Female Lead, Power Struggle, Smart Female Lead, Death, Palace Politics, Greed",17,8.9,2020-03-13,2020-03-13,Netflix,,Thriller, Historical,Joo Ji Hoon,Bae Doo Na
17,Mr. Sunshine,2018," Saturday, Sunday",24,80,15+,"Independent Female Lead, Strong Male Lead, Strong Female Lead, Smart Male Lead, Bromance, Soldier, Foreigner, Rebellion, Japanese Colonial Rule, Sismance",18,8.9,2018-07-07,2018-09-30,Netflix,tvN,Military, Historical,Lee Byung Hun,Kim Tae Ri
18,Healer,2014," Monday, Tuesday",20,60,15+,"Double Identity, Hidden Identity, Smart Male Lead, Strong Male Lead, Childish Female Lead, Fight, Secret, Sassy Female Lead, Reporter, Trauma",19,8.9,2014-12-08,2015-02-10,KBS2,,Action, Thriller,Ji Chang Wook,Park Min Young
19,Stranger,2017," Saturday, Sunday",16,70,15+,"Suspense, Investigation, Corruption, Crime Solving Duo, Murder, Calm Male Lead, Alexithymia, Emotionless Male Lead, Strong Female Lead, Smart Female Lead",20,8.9,2017-06-10,2017-07-30,Netflix,tvN,Thriller, Mystery,Jo Seung Woo,Bae Doo Na
20,Goblin,2016," Friday, Saturday",16,82,15+,"Supernatural, Grim Reaper, Older Man/Younger Woman, Interspecies Romance, Dokkaebi, Fate, Tearjerker, Bromance, Death, Heartfelt",21,8.8,2016-12-02,2017-01-21,tvN,,Comedy, Romance,Gong Yoo,Kim Go Eun
21,Hometown Cha-Cha-Cha,2021," Saturday, Sunday",16,80,15+,"Rural Village, Dentist, Healing, Kind-hearted Male Lead, Nice Female Lead, Cheerful Male Lead, Nice Male Lead, Bickering Couple, Rural Life, Hardworking Male Lead",22,8.8,2021-08-28,2021-10-17,Netflix,tvN,Comedy, Romance,Shin Min Ah,Kim Seon Ho
22,The Uncanny Counter,2020," Saturday, Sunday",16,70,15+,"Special Power, Righteous Male Lead, Evil Spirit, Strong Female Lead, Multiple Mains, Orphan Male Lead, Spirit, School Bullying, Childhood Trauma, Nice Male Lead",23,8.8,2020-11-28,2021-01-24,Netflix,OCN,Action, Mystery,Cho Byeong Kyu,Yoo  Joon Sang
23,D.P.,2021, Friday,6,50,15+,"Abuse, Soldier, Military Abuse, Violence, PTSD, Bromance, Overcoming Trauma, Adapted From A Webtoon, Sexual Assault, Desertion",24,8.8,2021-08-27,2021-08-27,Netflix,,Action, Military,Jung Hae In,Koo Kyo Hwan
24,Kingdom,2019, Friday,6,51,18+,"Joseon Dynasty, Adapted From A Webtoon, Power Struggle, Gore, Nice Male Lead, Strong Male Lead, Survival, Corruption, Strong Female Lead, Epidemic",25,8.8,2019-01-25,2019-01-25,Netflix,,Thriller, Historical,Joo Ji Hoon,Ryu Seung Ryong
25,The Penthouse,2020," Monday, Tuesday",21,85,15+,"Betrayal, Revenge, Greed, Jealousy, Female Centered Plot, Married Couple, Opera Singer, Motherhood, Twins, School Bullying",26,8.8,2020-10-26,2021-01-05,SBS,,Thriller, Mystery,Lee Ji Ah,Kim So Yeon
26,Weightlifting Fairy Kim Bok Joo,2016," Wednesday, Thursday",16,60,15+,"College Life, Dream, Friends To Lovers, Weightlifting, Strong Female Lead, Bantering Relationship, Male Chases Female First, Tomboy, Swimming, Sismance",27,8.8,2016-11-16,2017-01-11,MBC,,Comedy, Romance,Lee Sung Kyung,Nam Joo Hyuk
27,The Devil Judge,2021," Saturday, Sunday",16,70,15+,"Judge, Tough Past, Dystopia, Antihero, Bromance, Hardworking Male Lead, Courtroom, Corruption, Strong Female Lead, Mysterious Male Lead",28,8.8,2021-07-03,2021-08-22,tvN,,Mystery, Law,Ji Sung,Kim Min Jung
28,Life on Mars,2018," Saturday, Sunday",16,65,15+,"1980s, Police Procedural, Bromance, Calm Male Lead, Smart Male Lead, Strong Friendship, Hallucination, Strong Female Lead, Serial Killer, Coma",29,8.8,2018-06-09,2018-08-05,OCN,,Action, Mystery,Jung Kyung Ho,Park Sung Woong
29,The Penthouse 2,2021," Friday, Saturday",13,75,15+,"Revenge, Corruption, High Class Society, Female Centered Plot, Greed, Infidelity, Murder, Family Relationship, Betrayal, Married Couple",30,8.8,2021-02-19,2021-04-02,SBS,,Thriller, Mystery,Kim So Yeon,Eugene
30,Beyond Evil,2021," Friday, Saturday",16,65,15+,"Determined Male Lead, Investigation, Suspense, Murder, Wrongfully Accused, Psychological Manipulation, Smart Male Lead, Trauma, Serial Killer, Obsession",31,8.8,2021-02-19,2021-04-10,jTBC,,Thriller, Mystery,Shin Ha Kyun,Yeo Jin Goo
31,Taxi Driver,2021," Friday, Saturday",16,65,18+,"Adapted From A Webtoon, Taxi, Strong Male Lead, Investigation, Secret Organization, Smart Female Lead, Taxi Driver, Antihero, Calm Male Lead, Strong Female Lead",32,8.8,2021-04-09,2021-05-29,SBS,,Action, Thriller,Lee Je Hoon,Esom
32,Six Flying Dragons,2015," Monday, Tuesday",50,60,15+,"Revolution, Power Struggle, Political Intrigue, Sword-fight, Taejong, Scheme, Taejo, Smart Male Lead, Goryeo Dynasty, Bromance",33,8.8,2015-10-05,2016-03-22,SBS,,Action, Historical,Yoo Ah In,Kim Myung Min
33,The Guest,2018," Wednesday, Thursday",16,67,18+,"Exorcism, Death, Demon, Possessed, Shamanism, Murder, Psychic, Strong Female Lead, Priest, Policewoman",34,8.8,2018-09-12,2018-11-01,OCN,,Thriller, Mystery,Kim Dong Wook,Kim Jae Wook
34,Racket Boys,2021," Monday, Tuesday",16,75,15+,"Coliving, Boarding House, Charismatic Female Lead, Legend, Rural Life, Working Mom, Athlete, Tough Female Lead, Tough Male Lead, Badminton",35,8.8,2021-05-31,2021-08-09,Netflix,SBS,Friendship, Comedy,Kim Sang Kyung,Oh Na Ra
35,Youth of May,2021," Monday, Tuesday",12,70,15+,"1980s, Nurse, Rich Man/Poor Woman, Gwangju Uprising, Medical Student, Strong Female Lead, Smart Female Lead, Forbidden Love, Star Crossed Lovers, Tearjerker",36,8.8,2021-05-03,2021-06-08,KBS2,,Historical, Romance,Lee Do Hyun,Go Min Si
36,Mouse,2021," Wednesday, Thursday",20,75,18+,"Psychopath, Murder, Serial Killer, Investigation, Character Development, Detective, Neurosurgeon, Extreme Violence, Child Sexual Abuse, Flashback To Past",37,8.7,2021-03-03,2021-05-19,tvN,,Thriller, Mystery,Lee Seung Gi,Lee Hee Joon
37,Sweet Home,2020, Friday,10,52,18+,"Monsters, Gore, Survival, Character Development, Adapted From A Webtoon, Supernatural Phenomena, Multiple Mains, Trauma, School Bullying, Attempted Suicide",38,8.7,2020-12-18,2020-12-18,Netflix,,Horror, Drama,Song Kang,Lee Jin Wook
38,18 Again,2020," Monday, Tuesday",16,70,15+,"Second Chance, Personal Growth, First Love, Return To Past, Father-Son Relationship, Divorce, Remake, Married Couple, Hardworking Female Lead, Father-Daughter Relationship",39,8.7,2020-09-21,2020-11-10,jTBC,,Romance, Life,Kim Ha Neul,Yoon Sang Hyun
39,Chicago Typewriter,2017," Friday, Saturday",16,70,15+,"Reincarnation, Strong Friendship, Writer, Hardworking Male Lead, Hardworking Female Lead, Strong Female Lead, Successful Male Lead, Bromance, Flashback To Past, Tragic Past",40,8.7,2017-04-07,2017-06-03,tvN,,Comedy, Romance,Yoo Ah In,Im Soo Jung
40,Defendant,2017," Monday, Tuesday",18,70,15+,"Prison, Murder, Amnesia, Wrongfully Accused, Identity Swap, Bromance, Prisoner, Identical Twins, Suspense, Good Twin/Evil Twin",41,8.7,2017-01-23,2017-03-21,SBS,,Thriller, Mystery,Ji Sung,Uhm Ki Joon
41,While You Were Sleeping,2017," Wednesday, Thursday",32,30,15+,"Precognition, Nice Male Lead, Neighbors, Murder, Tragic Past, Childhood Acquaintance, Smart Male Lead, Steamy Kiss, Strong Female Lead, Healing",42,8.7,2017-09-27,2017-11-16,SBS,,Mystery, Romance,Bae Suzy,Lee Jong Suk
42,Dear My Friends,2016," Friday, Saturday",16,70,15+,"Best Friends, Life Lesson, Female Centered Plot, Senior Citizen, Mother-Son Relationship, Mother-Daughter Relationship, Multiple Couples, Single Mother, Sismance, Family Conflict",43,8.7,2016-05-13,2016-07-02,tvN,,Life, Drama,Go Hyun Jung,Kim Hye Ja
43,Dr. Romantic 2,2020," Monday, Tuesday",16,70,15+,"Hospital, Smart Male Lead, Character Development, Bickering Couple, Love/Hate Relationship, Smart Female Lead, Hardworking Female Lead, Nurse, Healing, Nervous Female Lead",44,8.7,2020-01-06,2020-02-25,SBS,,Romance, Drama,Han Seok Kyu,Ahn Hyo Seop
44,"Kill Me, Heal Me",2015," Wednesday, Thursday",20,62,15+,"Dissociative Identity Disorder, Trauma, Boss-Employee Relationship, Rich Male Lead, Mental Health, PTSD, Psychiatry, Nice Male Lead, Mean Male Lead, Rich Man/Poor Woman",45,8.7,2015-01-07,2015-03-12,MBC,,Psychological, Comedy,Ji Sung,Hwang Jung Eum
45,Arthdal Chronicles Part 2,2019," Saturday, Sunday",6,81,15+,"Twins, War, Power Struggle, Revenge, Slavery, Good Twin/Evil Twin, Strong Female Lead, Character Development, Father-Daughter Relationship, Sibling",46,8.7,2019-06-22,2019-07-07,Netflix,tvN,Historical, Romance,Song Joong Ki,Kim Ji Won
46,Misaeng,2014," Friday, Saturday",20,80,15+,"Office Worker, Workplace Abuse, Teamwork, Adapted From A Webtoon, Hardworking Male Lead, Workplace, Smart Female Lead, Strong Female Lead, Nice Male Lead, Hardworking Female Lead",47,8.7,2014-10-17,2014-12-20,tvN,,Friendship, Business,Im Si Wan,Lee Sung Min
47,Arthdal Chronicles Part 3,2019," Saturday, Sunday",6,80,15+,"Power Struggle, War, Supernatural Power, Strong Female Lead, Identical Twins, Curse, Revenge, Superhuman Strength, Pre-produced, Sibling",48,8.7,2019-09-07,2019-09-22,Netflix,tvN,Historical, Romance,Song Joong Ki,Kim Ji Won
48,My Name,2021, Friday,8,50,18+,"Revenge, Undercover Agent, Strong Female Lead, Double Identity, Crime Boss, Gang, Noir, Strong Male Lead, Drugs, Death",49,8.7,2021-10-15,2021-10-15,Netflix,,Action, Thriller,Han So Hee,Park Hee Soon 
49,Hotel del Luna,2019," Saturday, Sunday",16,80,15+,"Boss-Employee Relationship, Immortal, Strong Female Lead, Ghost, Ghost-seeing Male Lead, Supernatural, Hotel, Rich Female Lead, Nice Male Lead, Strong Friendship",50,8.7,2019-07-13,2019-09-01,tvN,,Horror, Comedy,IU,Yeo Jin Goo
50,Dr. Romantic,2016," Monday, Tuesday",20,60,15+,"Surgeon, Strong Male Lead, Smart Male Lead, Strong Female Characters, Hardworking Female Lead, Hardworking Male Lead, Character Development, Smart Female Lead, Boss-Employee Relationship, Slow Burn Romance",51,8.7,2016-11-07,2017-01-16,SBS,,Romance, Drama,Han Seok Kyu,Yoo Yeon Seok
51,The Fiery Priest,2019," Friday, Saturday",40,35,15+,"Badass Male Lead, Priest, Eccentric Male Lead, Sassy Female Lead, Bromance, Aggressive Male Lead, Church, Strong Friendship, PTSD, Sismance",52,8.7,2019-02-15,2019-04-20,SBS,,Action, Mystery,Kim Nam Gil,Kim Sung Kyun
52,Moon Lovers,2016," Monday, Tuesday",20,60,15+,"Goryeo Dynasty, Power Struggle, Sibling Rivalry, Tearjerker, Adapted From A Novel, Time Travel, Death, Gwangjong, Reverse-Harem, Obsession",53,8.7,2016-08-29,2016-11-01,SBS,,Historical, Romance,Lee Joon Gi,IU
53,Descendants of the Sun,2016," Wednesday, Thursday",16,60,15+,"Soldier, Hardworking Female Lead, Multiple Couples, Bromance, Hardworking Male Lead, Charming Male Lead, Gun Violence, Filmed Abroad, Friendship, Strong Friendship",54,8.7,2016-02-24,2016-04-14,KBS2,,Action, Comedy,Song Joong Ki,Song Hye Kyo
54,Hot Stove League,2019," Friday, Saturday",16,62,15+,"Hardworking Female Lead, Baseball, Hardworking Male Lead, Workplace, Teamwork, General Manager, Corruption, Successful Male Lead, Tough Male Lead, Calm Male Lead",55,8.7,2019-12-13,2020-02-14,SBS,,Drama, Sports,Namkoong Min,Park Eun Bin
55,Strong Woman Do Bong Soon,2017," Friday, Saturday",16,67,15+,"Strong Female Lead, Female Lead Action Scenes, Love Triangle, Superhuman Strength, Strong Female Characters, Game Developer, Gangster, Nice Male Lead, Bodyguard, Workplace",56,8.7,2017-02-24,2017-04-15,jTBC,,Action, Thriller,Park Bo Young,Park Hyung Sik
56,Law School,2021," Wednesday, Thursday",16,65,15+,"Smart Male Lead, School, Student, University, Death, Hardworking Female Lead, Rich Male Lead, Law Student, Campus Life, Nice Male Lead",57,8.7,2021-04-14,2021-06-09,jTBC,Netflix,Mystery, Law,Kim Myung Min,Kim Bum
57,Live,2018," Saturday, Sunday",18,75,15+,"Teamwork, Violence, Strong Friendship, Slice Of Life, Policewoman, Strong Female Lead, Smart Female Lead, Male Chases Female First, Rape, Nice Male Lead",58,8.7,2018-03-10,2018-05-06,Netflix,tvN,Friendship, Comedy,Lee Kwang Soo,Jung Yu Mi
58,Tunnel,2017," Saturday, Sunday",16,60,15+,"Time Travel, Murder, Criminal Profiler, Serial Killer, Bromance, Hardworking Male Lead, Hidden Identity, Strong Female Lead, Character Development, Slight Romance",59,8.7,2017-03-25,2017-05-21,OCN,,Thriller, Mystery,Choi Jin Hyuk,Yoon Hyun Min
59,Strangers from Hell,2019," Saturday, Sunday",10,60,15+,"Adapted From A Webtoon, Murder, PTSD, Gaslighting, Mental Illness, Mental Torment, Hostel, Trauma, Torture, Psychopath",60,8.7,2019-08-31,2019-10-06,OCN,,Thriller, Horror,Im Si Wan,Lee Dong Wook
60,"It's Okay, That's Love",2014," Wednesday, Thursday",16,60,15+,"Strong Female Lead, Psychiatry, Mental Health, Trauma, Charming Male Lead, Healing, Adult Romance, Melodrama, Cohabitation, Housemates",61,8.6,2014-07-23,2014-09-11,SBS,,Psychological, Comedy,Jo In Sung,Gong Hyo Jin
61,Eulachacha Waikiki,2018," Monday, Tuesday",20,65,15+,"Housemates, Bromance, Friends To Lovers, Motherhood, Cohabitation, Babysitting, Single Mother, Actor, Childhood Friends, Secondary Couple",62,8.6,2018-02-05,2018-04-17,jTBC,,Comedy, Life,Kim Jung Hyun,Lee Yi Kyung
62,The Bridal Mask,2012," Wednesday, Thursday",28,65,15+,"Japanese Colonial Rule, Hidden Identity, Revenge, Rebellion, Murder, Love Triangle, Adapted From A Manhwa, Investigation, Drama, Sword-fight",63,8.6,2012-05-30,2012-09-06,KBS2,,Action, Historical,Joo Won,Jin Se Yeon
63,Partners for Justice 2,2019," Monday, Tuesday",32,35,15+,"Forensic Science, Prosecutor Female Lead, Doctor Male Lead, Rich Female Lead, Death, Murder, Investigation",64,8.6,2019-06-03,2019-07-29,MBC,,Mystery, Law,Jung Jae Young,Jung Yoo Mi
64,Jewel in the Palace,2003," Monday, Tuesday",54,65,13+,"Cooking, Strong Female Lead, Royal Rules And Etiquette, Joseon Dynasty, Royal Cook, Doctor Female Lead, Faithful Male Lead, Smart Female Lead, Melodrama, Drama",65,8.6,2003-09-15,2004-03-23,MBC,,Food, Historical,Lee Young Ae,Ji Jin Hee
65,My Father is Strange,2017," Saturday, Sunday",52,66,15+,"Family Secret, Sisterhood, Eccentric Female Lead, Fake Incest, Multiple Couples, Strong Female Lead, Father-Daughter Relationship, Mother-Daughter Relationship, Mother-Son Relationship, Father-Son Relationship",66,8.6,2017-03-04,2017-08-27,KBS2,,Comedy, Romance,Kim Yeong Cheol,Kim Hae Sook
66,Children of Nobody,2018," Wednesday, Thursday",32,30,15+,"Trauma, Child Abuse, Smart Female Lead, Child Behavior Issues, Abuse, Murder, Tragic Past, Psychiatry, Child Abandonment, Domestic Violence",67,8.6,2018-11-21,2019-01-16,MBC,,Thriller, Mystery,Kim Sun Ah,Lee Yi Kyung
67,Go Back Couple,2017," Friday, Saturday",12,70,15+,"Time Travel, Love/Hate Relationship, Marriage, Mother-Daughter Relationship, Misunderstanding, 1990s, Failing Marriage, Married Couple, Sassy Female Lead, Sismance",68,8.6,2017-10-13,2017-11-18,KBS2,,Comedy, Romance,Jang Na Ra,Son Ho Jun
68,Good Manager,2017," Wednesday, Thursday",20,60,15+,"Eccentric Male Lead, Corruption, Bromance, Social Satire, Smart Male Lead, Revenge, Accountant, Enemy Mine, Smart Female Lead, Strong Female Lead",69,8.6,2017-01-25,2017-03-30,KBS2,,Business, Comedy,Namkoong Min,Nam Sang Mi
69,Stranger 2,2020," Saturday, Sunday",16,62,15+,"Corruption, Calm Male Lead, Smart Male Lead, Suspense, Emotional Blunting, Power Struggle, Strong Female Lead, Strong Male Lead, Policewoman, Alexithymia",70,8.6,2020-08-15,2020-10-04,Netflix,tvN,Thriller, Mystery,Jo Seung Woo,Bae Doo Na
70,My Love from the Star,2013," Wednesday, Thursday",21,58,15+,"Alien, Interspecies Romance, Famous Actress, Celebrity, Professor, Sassy Female Lead, Superhuman Strength, Time Manipulation, Cyberbullying, Star Crossed Lovers",71,8.6,2013-12-18,2014-02-27,SBS,,Comedy, Romance,Kim Soo Hyun,Jun Ji Hyun
71,Empress Ki,2013," Monday, Tuesday",51,65,15+,"Smart Female Lead, Strong Female Lead, Power Struggle, Possessive Male Lead, Love Triangle, Female Warrior, Yuan Dynasty, Revenge, Cross-Dressing, Goryeo Dynasty",72,8.6,2013-10-28,2014-04-29,MBC,,Historical, Romance,Ha Ji Won,Ji Chang Wook
72,Age of Youth,2016," Friday, Saturday",12,60,15+,"Housemates, Female Centered Plot, Sismance, Multiple Mains, College Life, Coming Of Age, Strong Female Lead, Strong Female Characters, Hardworking Female Lead, Multiple Couples",73,8.6,2016-07-22,2016-08-27,jTBC,,Friendship, Romance,Han Ye Ri,Ryu Hwa Young
73,Mystic Pop-Up Bar,2020," Wednesday, Thursday",12,68,15+,"Afterlife, Tragic Past, Grudge, Hot-tempered Female Lead, Spirit, Adapted From A Webtoon, Special Power, Family Relationship, Flashback To Past, Food",74,8.6,2020-05-20,2020-06-25,jTBC,Netflix,Mystery, Comedy,Hwang Jung Eum,Yook Sung Jae
74,Cruel City,2013," Monday, Tuesday",20,60,15+,"Badass Male Lead, Gang, Bromance, Strong Female Lead, Gangster, Strong Male Lead, Smart Male Lead, Sismance, Steamy Kiss, Drug Dealer",75,8.6,2013-05-27,2013-07-30,jTBC,,Action, Thriller,Jung Kyung Ho,Nam Gyu Ri
75,365,2020," Monday, Tuesday",24,35,15+,"Strong Female Lead, Time Travel, Nice Male Lead, Suspense, Murder, Detective, Fate, Supernatural, Accident, Webtoon Writer",76,8.6,2020-03-23,2020-04-28,MBC,,Thriller, Mystery,Lee Joon Hyuk,Nam Ji Hyun
76,Designated Survivor,2019," Monday, Tuesday",16,70,15+,"Power Struggle, Conspiracy, Blue House, Lying, Social Commentary, Terrorism, Deception, National Intelligence Service, National Assembly, Death",77,8.6,2019-07-01,2019-08-20,Netflix,tvN,Thriller, Mystery,Ji Jin Hee,Son Seok Koo
77,Just Between Lovers,2017," Monday, Tuesday",16,73,15+,"Trauma, Healing, Survivor Guilt, Hardworking Female Lead, Strong Female Lead, Tearjerker, Hardworking Male Lead, Phobia, Disaster, Poor Male Lead",78,8.6,2017-12-11,2018-01-30,jTBC,,Psychological, Romance,Lee Jun Ho,Won Jin Ah
78,Squid Game,2021, Friday,9,60,18+,"Death, Death Game, Poor Male Lead, Extreme Violence, Debt, Gore, Competition, Game Show, Survival, Murder",79,8.6,2021-09-17,2021-09-17,Netflix,,Action, Thriller,Lee Jung Jae,Park Hae Soo
79,Avengers Social Club,2017," Wednesday, Thursday",12,60,15+,"Revenge, Sismance, Female Centered Plot, Strong Female Lead, Strong Female Characters, Healing, Smart Male Lead, Mother-Son Relationship, Mother-Daughter Relationship, Tragic Past",80,8.6,2017-10-11,2017-11-16,tvN,,Friendship, Comedy,Lee Yo Won,Ra Mi Ran
80,The Master's Sun,2013," Wednesday, Thursday",17,62,15+,"Ghost, Eccentric Female Lead, Rich Male Lead, Clingy Female Lead, Successful Male Lead, Obsession, Tragic Past, Trauma, Secondary Couple, Eccentric Male Lead",81,8.6,2013-08-07,2013-10-03,SBS,,Horror, Comedy,Gong Hyo Jin,So Ji Sub
81,Once Again,2020," Saturday, Sunday",100,35,15+,"Divorce, Family Relationship, Multiple Couples, Multiple Mains, Marriage, Slice Of Life, Married Couple, Age Gap, Sibling, Secret Relationship",82,8.6,2020-03-28,2020-09-13,KBS2,,Comedy, Romance,Chun Ho Jin,Cha Hwa Yun
82,Save Me,2017," Saturday, Sunday",16,60,15+,"Cult, Adapted From A Webtoon, Church, Strong Female Lead, Bromance, School Bullying, Smart Female Lead, Deception, Strong Male Lead, Ex-convict",83,8.6,2017-08-05,2017-09-24,OCN,,Action, Thriller,Seo Yea Ji,Ok Taec Yeon
83,Bad Guys,2014, Saturday,11,65,18+,"Psychopath, Murder, Teamwork, Serial Killer, Strong Male Lead, Gangster, Smart Male Lead, Skilled Killer, Violence, Death",84,8.6,2014-10-04,2014-12-13,OCN,,Action, Thriller,Kim Sang Joong,Park Hae Jin
84,Missing,2020," Saturday, Sunday",12,70,15+,"Con Artist, Ghost-seeing Male Lead, Spirit, Missing Person, Detective, Hacker, Bromance, Social Justice, Righteous Male Lead, Death",85,8.6,2020-08-29,2020-10-11,OCN,,Thriller, Mystery,Go Soo,Heo Joon Ho
85,Rebel,2017," Monday, Tuesday",30,60,15+,"Rebellion, Joseon Dynasty, Strong Male Lead, Smart Male Lead, Corruption, Slave, Discrimination, Bromance, Superhuman Strength, Revenge",86,8.5,2017-01-30,2017-05-16,MBC,,Action, Thriller,Yoon Kyun Sang,Chae Soo Bin
86,Nobody Knows,2020," Monday, Tuesday",16,70,15+,"Strong Female Lead, Smart Female Lead, Unusual Friendship, Murder, Death, Strong Friendship, Guilt, Calm Female Lead, Serial Killer, Trauma",87,8.5,2020-03-02,2020-04-21,SBS,,Thriller, Mystery,Kim Seo Hyung,Ryu Deok Hwan
87,I Hear Your Voice,2013," Wednesday, Thursday",18,60,15+,"Special Power, Revenge, Smart Female Lead, Trauma, Strong Female Lead, Older Woman/Younger Man, Male Chases Female First, Age Gap, Mind Reading, Cohabitation",88,8.5,2013-06-05,2013-08-01,SBS,,Mystery, Law,Lee Jong Suk,Lee Bo Young
88,Reply 1997,2012, Tuesday,16,60,15+,"Childhood Friends, High School, 1990s, Strong Friendship, First Love, Best Friends, Friends To Lovers, Bromance, Love Square, Unrequited Love",89,8.5,2012-07-24,2012-09-18,tvN,,Comedy, Romance,Jung Eun Ji,Seo In Guk
